,MAE,Loss,config/layers,config/units
173,0.39573827385902405,0.40314388275146484,3,"(64, 32, 16)"
350,0.40018606185913086,0.4012027978897095,3,"(64, 16, 8)"
182,0.40019193291664124,0.40399155020713806,3,"(64, 64, 8)"
158,0.40195247530937195,0.40774354338645935,3,"(64, 16, 8)"
557,0.40301796793937683,0.4068650007247925,3,"(64, 32, 16)"
179,0.4034048616886139,0.4090178608894348,3,"(64, 32, 64)"
188,0.4035221040248871,0.40909549593925476,3,"(64, 64, 32)"
566,0.40364035964012146,0.4124557673931122,3,"(64, 64, 8)"
362,0.40369507670402527,0.41118472814559937,3,"(64, 32, 8)"
374,0.4049278199672699,0.4070951044559479,3,"(64, 64, 8)"
191,0.40515273809432983,0.4092985987663269,3,"(64, 64, 64)"
545,0.4051533341407776,0.40822628140449524,3,"(64, 16, 16)"
317,0.40617990493774414,0.4137151837348938,3,"(32, 32, 16)"
356,0.40691208839416504,0.4133657217025757,3,"(64, 16, 32)"
572,0.4069238007068634,0.4132132828235626,3,"(64, 64, 32)"
368,0.4069617986679077,0.4135645627975464,3,"(64, 32, 32)"
185,0.40717098116874695,0.4109662175178528,3,"(64, 64, 16)"
365,0.4074071943759918,0.4141341745853424,3,"(64, 32, 16)"
371,0.40787941217422485,0.41162487864494324,3,"(64, 32, 64)"
533,0.4079661965370178,0.4103127121925354,3,"(64, 8, 16)"
113,0.40802672505378723,0.41490456461906433,3,"(32, 16, 16)"
527,0.4080272614955902,0.4194035828113556,3,"(32, 64, 64)"
143,0.40823501348495483,0.41385912895202637,3,"(32, 64, 64)"
560,0.4083198606967926,0.41848623752593994,3,"(64, 32, 32)"
170,0.4086087644100189,0.41163891553878784,3,"(64, 32, 8)"
176,0.40861913561820984,0.4137728214263916,3,"(64, 32, 32)"
569,0.4086686074733734,0.41121816635131836,3,"(64, 64, 16)"
548,0.408765971660614,0.41740065813064575,3,"(64, 16, 32)"
575,0.4089185893535614,0.41180482506752014,3,"(64, 64, 64)"
338,0.40938255190849304,0.4121389389038086,3,"(64, 8, 8)"
539,0.40977364778518677,0.4170973002910614,3,"(64, 8, 64)"
512,0.4100765585899353,0.4167892038822174,3,"(32, 32, 32)"
551,0.41010287404060364,0.41474050283432007,3,"(64, 16, 64)"
380,0.4102780818939209,0.4126875102519989,3,"(64, 64, 32)"
542,0.4103398323059082,0.41426530480384827,3,"(64, 16, 8)"
359,0.4105164706707001,0.4149347245693207,3,"(64, 16, 64)"
314,0.4105261266231537,0.4166790843009949,3,"(32, 32, 8)"
497,0.4106930196285248,0.42040199041366577,3,"(32, 16, 16)"
344,0.4107131063938141,0.4182090759277344,3,"(64, 8, 32)"
161,0.4117988348007202,0.4163077771663666,3,"(64, 16, 16)"
149,0.4118882119655609,0.416780024766922,3,"(64, 8, 16)"
383,0.4120088815689087,0.42080599069595337,3,"(64, 64, 64)"
353,0.4121651351451874,0.4138980507850647,3,"(64, 16, 16)"
164,0.41247880458831787,0.42199453711509705,3,"(64, 16, 32)"
524,0.4125228524208069,0.41685330867767334,3,"(32, 64, 32)"
308,0.41268545389175415,0.4210154116153717,3,"(32, 16, 32)"
563,0.4130236506462097,0.417825847864151,3,"(64, 32, 64)"
503,0.4133738875389099,0.4201432168483734,3,"(32, 16, 64)"
515,0.413432776927948,0.42353355884552,3,"(32, 32, 64)"
550,0.41378137469291687,0.42187100648880005,2,"(64, 16, 64)"
532,0.4142150580883026,0.418666273355484,2,"(64, 8, 16)"
509,0.41430333256721497,0.4127342700958252,3,"(32, 32, 16)"
554,0.41460365056991577,0.4169498085975647,3,"(64, 32, 8)"
329,0.414654403924942,0.41953402757644653,3,"(32, 64, 16)"
146,0.41473108530044556,0.4222109615802765,3,"(64, 8, 8)"
332,0.41529160737991333,0.42024239897727966,3,"(32, 64, 32)"
568,0.4154641926288605,0.42462489008903503,2,"(64, 64, 16)"
140,0.41573023796081543,0.4153614938259125,3,"(32, 64, 32)"
349,0.4157840609550476,0.4251335561275482,2,"(64, 16, 8)"
134,0.4158269464969635,0.4253620505332947,3,"(32, 64, 8)"
154,0.4158991873264313,0.4270677864551544,2,"(64, 8, 64)"
323,0.4160498082637787,0.42106595635414124,3,"(32, 32, 64)"
128,0.4161734879016876,0.42059189081192017,3,"(32, 32, 32)"
107,0.41629403829574585,0.4232546091079712,3,"(32, 8, 64)"
347,0.4168444573879242,0.4224892854690552,3,"(64, 8, 64)"
376,0.4170212745666504,0.4249326288700104,2,"(64, 64, 16)"
178,0.4172457456588745,0.42073115706443787,2,"(64, 32, 64)"
335,0.4173086881637573,0.4181016981601715,3,"(32, 64, 64)"
370,0.4173325300216675,0.42195606231689453,2,"(64, 32, 64)"
559,0.4173943102359772,0.4213414490222931,2,"(64, 32, 32)"
254,0.41745129227638245,0.4298054277896881,3,"(16, 16, 8)"
155,0.4174942970275879,0.42695680260658264,3,"(64, 8, 64)"
101,0.4176337718963623,0.4241933822631836,3,"(32, 8, 16)"
500,0.4176363945007324,0.4204813539981842,3,"(32, 16, 32)"
125,0.41769832372665405,0.4170630872249603,3,"(32, 32, 16)"
452,0.41772007942199707,0.4261454641819,3,"(16, 16, 32)"
536,0.41772526502609253,0.4225645661354065,3,"(64, 8, 32)"
341,0.4178931713104248,0.4255174696445465,3,"(64, 8, 16)"
377,0.41796043515205383,0.41950520873069763,3,"(64, 64, 16)"
562,0.41806653141975403,0.421609491109848,2,"(64, 32, 64)"
506,0.41823628544807434,0.423957884311676,3,"(32, 32, 8)"
491,0.41849684715270996,0.42702099680900574,3,"(32, 8, 64)"
538,0.4185522198677063,0.4268833100795746,2,"(64, 8, 64)"
77,0.4186479449272156,0.42361825704574585,3,"(16, 32, 16)"
190,0.41883885860443115,0.4267718195915222,2,"(64, 64, 64)"
518,0.4189992845058441,0.42519712448120117,3,"(32, 64, 8)"
553,0.419033408164978,0.42202845215797424,2,"(64, 32, 8)"
131,0.4191026985645294,0.42773666977882385,3,"(32, 32, 64)"
565,0.4191455841064453,0.4247516095638275,2,"(64, 64, 8)"
167,0.41917988657951355,0.4245448112487793,3,"(64, 16, 64)"
530,0.4192345142364502,0.42554402351379395,3,"(64, 8, 8)"
142,0.4195498824119568,0.43129172921180725,2,"(32, 64, 64)"
110,0.41981959342956543,0.42213016748428345,3,"(32, 16, 8)"
571,0.41982215642929077,0.4280949831008911,2,"(64, 64, 32)"
364,0.41998323798179626,0.4253467917442322,2,"(64, 32, 16)"
521,0.4199869632720947,0.4243221580982208,3,"(32, 64, 16)"
340,0.4199877083301544,0.42602062225341797,2,"(64, 8, 16)"
160,0.42009982466697693,0.42539182305336,2,"(64, 16, 16)"
290,0.4201796054840088,0.4258597195148468,3,"(32, 8, 8)"
275,0.4204399585723877,0.43165266513824463,3,"(16, 32, 64)"
187,0.4205639660358429,0.4252195656299591,2,"(64, 64, 32)"
479,0.4206477999687195,0.4301438331604004,3,"(16, 64, 64)"
544,0.42074817419052124,0.4270029067993164,2,"(64, 16, 16)"
482,0.4207665026187897,0.4284124970436096,3,"(32, 8, 8)"
184,0.420834481716156,0.4249380826950073,2,"(64, 64, 16)"
278,0.420927494764328,0.43001705408096313,3,"(16, 64, 8)"
92,0.42116111516952515,0.4277690351009369,3,"(16, 64, 32)"
284,0.42116445302963257,0.42866969108581543,3,"(16, 64, 32)"
169,0.42120108008384705,0.42379701137542725,2,"(64, 32, 8)"
157,0.42140817642211914,0.42734816670417786,2,"(64, 16, 8)"
352,0.421485960483551,0.42781007289886475,2,"(64, 16, 16)"
38,0.4215516746044159,0.4281897246837616,3,"(8, 64, 8)"
151,0.4216632843017578,0.428915411233902,2,"(64, 8, 32)"
137,0.42171114683151245,0.4241591989994049,3,"(32, 64, 16)"
152,0.42181429266929626,0.426376074552536,3,"(64, 8, 32)"
130,0.42184025049209595,0.42692795395851135,2,"(32, 32, 64)"
116,0.42192333936691284,0.4270085096359253,3,"(32, 16, 32)"
296,0.42204493284225464,0.42970138788223267,3,"(32, 8, 32)"
166,0.4222499132156372,0.4275125563144684,2,"(64, 16, 64)"
305,0.42251211404800415,0.4316719174385071,3,"(32, 16, 16)"
197,0.4225967228412628,0.43546608090400696,3,"(8, 8, 16)"
293,0.4227740168571472,0.4342248737812042,3,"(32, 8, 16)"
263,0.4228709936141968,0.4288657605648041,3,"(16, 16, 64)"
145,0.423322856426239,0.4322119355201721,2,"(64, 8, 8)"
373,0.4236287474632263,0.42514991760253906,2,"(64, 64, 8)"
281,0.42367038130760193,0.4260353744029999,3,"(16, 64, 16)"
326,0.4238504469394684,0.4253721833229065,3,"(32, 64, 8)"
517,0.4239433705806732,0.4336310029029846,2,"(32, 64, 8)"
470,0.42396241426467896,0.426723837852478,3,"(16, 64, 8)"
358,0.42398685216903687,0.42792943120002747,2,"(64, 16, 64)"
379,0.4240093231201172,0.42983701825141907,2,"(64, 64, 32)"
328,0.424026757478714,0.4333796203136444,2,"(32, 64, 16)"
272,0.42402979731559753,0.42755016684532166,3,"(16, 32, 32)"
53,0.4240376055240631,0.43823131918907166,3,"(16, 8, 16)"
322,0.42406758666038513,0.43128111958503723,2,"(32, 32, 64)"
172,0.4240981340408325,0.4301780164241791,2,"(64, 32, 16)"
367,0.4241660237312317,0.4335048496723175,2,"(64, 32, 32)"
346,0.42427384853363037,0.4315047860145569,2,"(64, 8, 64)"
355,0.4245339632034302,0.4324890375137329,2,"(64, 16, 32)"
461,0.42463186383247375,0.4337840676307678,3,"(16, 32, 16)"
547,0.42470332980155945,0.433414101600647,2,"(64, 16, 32)"
299,0.4247446060180664,0.43219029903411865,3,"(32, 8, 64)"
203,0.42484188079833984,0.43740609288215637,3,"(8, 8, 64)"
337,0.42488566040992737,0.4327405095100403,2,"(64, 8, 8)"
97,0.42492347955703735,0.4332388937473297,2,"(32, 8, 8)"
382,0.4249922037124634,0.43115174770355225,2,"(64, 64, 64)"
490,0.42502889037132263,0.4335731267929077,2,"(32, 8, 64)"
163,0.4252481460571289,0.4336990714073181,2,"(64, 16, 32)"
541,0.4252496063709259,0.4312383830547333,2,"(64, 16, 8)"
298,0.4253281354904175,0.42881566286087036,2,"(32, 8, 64)"
361,0.4254705607891083,0.4309304654598236,2,"(64, 32, 8)"
100,0.42562928795814514,0.4373686909675598,2,"(32, 8, 16)"
86,0.4256962537765503,0.43267226219177246,3,"(16, 64, 8)"
422,0.42580661177635193,0.4324394762516022,3,"(8, 64, 8)"
331,0.4258682429790497,0.4345567226409912,2,"(32, 64, 32)"
574,0.426019549369812,0.4288467764854431,2,"(64, 64, 64)"
175,0.4260546863079071,0.4301002621650696,2,"(64, 32, 32)"
127,0.42613330483436584,0.4331558644771576,2,"(32, 32, 32)"
523,0.42619234323501587,0.43410301208496094,2,"(32, 64, 32)"
467,0.4262882173061371,0.43592432141304016,3,"(16, 32, 64)"
121,0.42644569277763367,0.43363291025161743,2,"(32, 32, 8)"
529,0.42689913511276245,0.43116751313209534,2,"(64, 8, 8)"
458,0.4269115924835205,0.4362673759460449,3,"(16, 32, 8)"
17,0.42694494128227234,0.43926823139190674,3,"(8, 16, 16)"
535,0.4270726144313812,0.4329163730144501,2,"(64, 8, 32)"
481,0.4270792007446289,0.43457263708114624,2,"(32, 8, 8)"
449,0.4271354675292969,0.4340662658214569,3,"(16, 16, 16)"
29,0.4273431599140167,0.43734487891197205,3,"(8, 32, 16)"
505,0.42740577459335327,0.4345434308052063,2,"(32, 32, 8)"
68,0.427420049905777,0.4336388111114502,3,"(16, 16, 32)"
89,0.42745864391326904,0.4328441023826599,3,"(16, 64, 16)"
148,0.42753151059150696,0.435527503490448,2,"(64, 8, 16)"
181,0.42769286036491394,0.43618932366371155,2,"(64, 64, 8)"
98,0.42772549390792847,0.43645188212394714,3,"(32, 8, 8)"
311,0.4278537929058075,0.43651992082595825,3,"(32, 16, 64)"
292,0.42788442969322205,0.43818986415863037,2,"(32, 8, 16)"
47,0.4279276132583618,0.43770328164100647,3,"(8, 64, 64)"
502,0.4281894266605377,0.4328426420688629,2,"(32, 16, 64)"
325,0.4282030165195465,0.4377257525920868,2,"(32, 64, 8)"
488,0.4282465875148773,0.4353819787502289,3,"(32, 8, 32)"
511,0.42835164070129395,0.4366247355937958,2,"(32, 32, 32)"
287,0.42835620045661926,0.43817517161369324,3,"(16, 64, 64)"
428,0.42835813760757446,0.4401945471763611,3,"(8, 64, 32)"
313,0.4284047782421112,0.43331456184387207,2,"(32, 32, 8)"
556,0.4284091591835022,0.4339575469493866,2,"(64, 32, 16)"
493,0.4284423589706421,0.43951845169067383,2,"(32, 16, 8)"
122,0.42864879965782166,0.4363720417022705,3,"(32, 32, 8)"
136,0.4286547601222992,0.4328283965587616,2,"(32, 64, 16)"
302,0.4286730885505676,0.4348641037940979,3,"(32, 16, 8)"
307,0.4289129972457886,0.43669143319129944,2,"(32, 16, 32)"
253,0.4289776682853699,0.4397438168525696,2,"(16, 16, 8)"
343,0.4290020763874054,0.43668124079704285,2,"(64, 8, 32)"
485,0.4290474057197571,0.433788001537323,3,"(32, 8, 16)"
526,0.42922818660736084,0.4329204559326172,2,"(32, 64, 64)"
301,0.4293663501739502,0.4343569278717041,2,"(32, 16, 8)"
265,0.42937171459198,0.43804073333740234,2,"(16, 32, 8)"
487,0.42939168214797974,0.43182840943336487,2,"(32, 8, 32)"
133,0.42967429757118225,0.4366278350353241,2,"(32, 64, 8)"
320,0.42988121509552,0.4329756200313568,3,"(32, 32, 32)"
304,0.4303000271320343,0.43756020069122314,2,"(32, 16, 16)"
119,0.4305230975151062,0.4335598051548004,3,"(32, 16, 64)"
520,0.43081286549568176,0.439298540353775,2,"(32, 64, 16)"
59,0.43095138669013977,0.4374936819076538,3,"(16, 8, 64)"
499,0.4311351776123047,0.43547728657722473,2,"(32, 16, 32)"
80,0.4311431050300598,0.44009143114089966,3,"(16, 32, 32)"
85,0.4311741590499878,0.44265198707580566,2,"(16, 64, 8)"
316,0.4315904676914215,0.43630391359329224,2,"(32, 32, 16)"
398,0.43159162998199463,0.43905556201934814,3,"(8, 16, 8)"
269,0.43159517645835876,0.4385422468185425,3,"(16, 32, 16)"
104,0.431604266166687,0.4383199214935303,3,"(32, 8, 32)"
56,0.43174588680267334,0.4408780336380005,3,"(16, 8, 32)"
139,0.4318336248397827,0.43786463141441345,2,"(32, 64, 32)"
251,0.4319930076599121,0.4409979581832886,3,"(16, 8, 64)"
79,0.43217965960502625,0.4356955289840698,2,"(16, 32, 32)"
62,0.43238916993141174,0.43870508670806885,3,"(16, 16, 8)"
256,0.432422399520874,0.44220656156539917,2,"(16, 16, 16)"
460,0.43292465806007385,0.44110268354415894,2,"(16, 32, 16)"
71,0.43311595916748047,0.4438150227069855,3,"(16, 16, 64)"
115,0.43331432342529297,0.43777698278427124,2,"(32, 16, 32)"
103,0.4333437383174896,0.441351056098938,2,"(32, 8, 32)"
244,0.4334532618522644,0.44202449917793274,2,"(16, 8, 16)"
224,0.43391141295433044,0.4461190104484558,3,"(8, 32, 32)"
260,0.43392953276634216,0.4404349625110626,3,"(16, 16, 32)"
334,0.43412673473358154,0.4387824535369873,2,"(32, 64, 64)"
473,0.43418893218040466,0.4388023912906647,3,"(16, 64, 16)"
74,0.43423038721084595,0.4432889223098755,3,"(16, 32, 8)"
241,0.4342813491821289,0.44385218620300293,2,"(16, 8, 8)"
436,0.4345799386501312,0.441617876291275,2,"(16, 8, 16)"
286,0.43462374806404114,0.44214579463005066,2,"(16, 64, 64)"
407,0.4352469742298126,0.4449029862880707,3,"(8, 16, 64)"
41,0.43529224395751953,0.4435957372188568,3,"(8, 64, 16)"
494,0.4353138208389282,0.4401434361934662,3,"(32, 16, 8)"
118,0.4354305565357208,0.4464181959629059,2,"(32, 16, 64)"
95,0.4355279207229614,0.44006583094596863,3,"(16, 64, 64)"
26,0.4355284571647644,0.43985068798065186,3,"(8, 32, 8)"
454,0.4356880784034729,0.4397241175174713,2,"(16, 16, 64)"
88,0.43570277094841003,0.44463130831718445,2,"(16, 64, 16)"
440,0.43575072288513184,0.4443715512752533,3,"(16, 8, 32)"
439,0.43577367067337036,0.44653254747390747,2,"(16, 8, 32)"
124,0.4358888268470764,0.43927261233329773,2,"(32, 32, 16)"
508,0.4359247088432312,0.4428490996360779,2,"(32, 32, 16)"
357,0.43593311309814453,0.44386205077171326,1,"(64, 16, 64)"
319,0.43598610162734985,0.4425972104072571,2,"(32, 32, 32)"
50,0.43630433082580566,0.4384121894836426,3,"(16, 8, 8)"
8,0.43635207414627075,0.4473888874053955,3,"(8, 8, 32)"
514,0.4363980293273926,0.44135352969169617,2,"(32, 32, 64)"
567,0.4367382526397705,0.4456644654273987,1,"(64, 64, 16)"
446,0.43684497475624084,0.4470571279525757,3,"(16, 16, 8)"
35,0.4369410276412964,0.44929826259613037,3,"(8, 32, 64)"
76,0.43703755736351013,0.4452482759952545,2,"(16, 32, 16)"
552,0.43704208731651306,0.4438420236110687,1,"(64, 32, 8)"
236,0.4370550513267517,0.44458651542663574,3,"(8, 64, 32)"
61,0.4370628595352173,0.44566500186920166,2,"(16, 16, 8)"
259,0.4371563494205475,0.44804897904396057,2,"(16, 16, 32)"
310,0.43716245889663696,0.44002559781074524,2,"(32, 16, 64)"
448,0.4372153580188751,0.44612061977386475,2,"(16, 16, 16)"
245,0.437238484621048,0.44296199083328247,3,"(16, 8, 16)"
289,0.43727490305900574,0.44404444098472595,2,"(32, 8, 8)"
266,0.4372868239879608,0.4422626495361328,3,"(16, 32, 8)"
484,0.43759891390800476,0.44390738010406494,2,"(32, 8, 16)"
106,0.4376508891582489,0.44384458661079407,2,"(32, 8, 64)"
496,0.4378634989261627,0.4449756145477295,2,"(32, 16, 16)"
268,0.4380629062652588,0.44862449169158936,2,"(16, 32, 16)"
455,0.4380674958229065,0.4365251064300537,3,"(16, 16, 64)"
218,0.43817663192749023,0.4485092759132385,3,"(8, 32, 8)"
457,0.4382966160774231,0.4476001262664795,2,"(16, 32, 8)"
150,0.43836942315101624,0.44755154848098755,1,"(64, 8, 32)"
64,0.43841952085494995,0.44244080781936646,2,"(16, 16, 16)"
67,0.4384608566761017,0.449735552072525,2,"(16, 16, 32)"
401,0.43860915303230286,0.44965866208076477,3,"(8, 16, 16)"
58,0.4386543333530426,0.4460693299770355,2,"(16, 8, 64)"
469,0.4386572539806366,0.4466407597064972,2,"(16, 64, 8)"
369,0.4387267827987671,0.4461864233016968,1,"(64, 32, 64)"
208,0.4388202726840973,0.4501914083957672,2,"(8, 16, 16)"
476,0.43889161944389343,0.4373498558998108,3,"(16, 64, 32)"
283,0.4389244019985199,0.44574618339538574,2,"(16, 64, 32)"
109,0.4390946328639984,0.4413208067417145,2,"(32, 16, 8)"
381,0.43910694122314453,0.4460259675979614,1,"(64, 64, 64)"
247,0.4394001066684723,0.44998764991760254,2,"(16, 8, 32)"
250,0.4394388496875763,0.44675740599632263,2,"(16, 8, 64)"
153,0.4397636353969574,0.44660618901252747,1,"(64, 8, 64)"
13,0.4397672116756439,0.4469159245491028,2,"(8, 16, 8)"
489,0.4399045407772064,0.45209062099456787,1,"(32, 8, 64)"
242,0.4400932788848877,0.4427758753299713,3,"(16, 8, 8)"
413,0.4401373267173767,0.449053019285202,3,"(8, 32, 16)"
297,0.44024085998535156,0.44963979721069336,1,"(32, 8, 64)"
300,0.44029146432876587,0.449310302734375,1,"(32, 16, 8)"
327,0.440408855676651,0.4468481242656708,1,"(32, 64, 16)"
472,0.44041576981544495,0.4455760717391968,2,"(16, 64, 16)"
463,0.4404563009738922,0.4498623311519623,2,"(16, 32, 32)"
295,0.4405331611633301,0.44784873723983765,2,"(32, 8, 32)"
215,0.4406634569168091,0.4452705383300781,3,"(8, 16, 64)"
564,0.4409123659133911,0.4510748088359833,1,"(64, 64, 8)"
501,0.44099661707878113,0.4502611458301544,1,"(32, 16, 64)"
44,0.44101110100746155,0.44742465019226074,3,"(8, 64, 32)"
389,0.44104915857315063,0.44880416989326477,3,"(8, 8, 16)"
99,0.4411056339740753,0.44951075315475464,1,"(32, 8, 16)"
183,0.4412801265716553,0.4507124423980713,1,"(64, 64, 16)"
345,0.4413369596004486,0.44756102561950684,1,"(64, 8, 64)"
464,0.441371351480484,0.44445422291755676,3,"(16, 32, 32)"
336,0.4413740038871765,0.4484568238258362,1,"(64, 8, 8)"
37,0.4415118098258972,0.4529050290584564,2,"(8, 64, 8)"
10,0.44157108664512634,0.45034900307655334,2,"(8, 8, 64)"
558,0.44181591272354126,0.4450615346431732,1,"(64, 32, 32)"
351,0.4418202340602875,0.45008882880210876,1,"(64, 16, 16)"
437,0.44182777404785156,0.45147228240966797,3,"(16, 8, 16)"
32,0.4419393539428711,0.45058971643447876,3,"(8, 32, 32)"
528,0.4420092701911926,0.44939273595809937,1,"(64, 8, 8)"
537,0.4420132040977478,0.4503498077392578,1,"(64, 8, 64)"
209,0.44210001826286316,0.45152634382247925,3,"(8, 16, 16)"
363,0.44214528799057007,0.4499993622303009,1,"(64, 32, 16)"
366,0.4421656131744385,0.4498670995235443,1,"(64, 32, 32)"
443,0.44218236207962036,0.44851061701774597,3,"(16, 8, 64)"
239,0.4421830177307129,0.45064717531204224,3,"(8, 64, 64)"
510,0.4422752857208252,0.44714781641960144,1,"(32, 32, 32)"
573,0.4422850012779236,0.44829651713371277,1,"(64, 64, 64)"
248,0.44230183959007263,0.44962137937545776,3,"(16, 8, 32)"
555,0.44251301884651184,0.44952258467674255,1,"(64, 32, 16)"
546,0.4425286054611206,0.448648065328598,1,"(64, 16, 32)"
434,0.4426855742931366,0.4455401301383972,3,"(16, 8, 8)"
129,0.4427964985370636,0.4502297341823578,1,"(32, 32, 64)"
22,0.4428277313709259,0.4517231583595276,2,"(8, 16, 64)"
372,0.4429667592048645,0.4491540491580963,1,"(64, 64, 8)"
294,0.4430917203426361,0.4510762691497803,1,"(32, 8, 32)"
392,0.4431680738925934,0.45370545983314514,3,"(8, 8, 32)"
475,0.44325578212738037,0.44873178005218506,2,"(16, 64, 32)"
65,0.4432995319366455,0.44729679822921753,3,"(16, 16, 16)"
14,0.44336196780204773,0.4460393190383911,3,"(8, 16, 8)"
549,0.4433779716491699,0.44791439175605774,1,"(64, 16, 64)"
478,0.44348666071891785,0.4491000175476074,2,"(16, 64, 64)"
49,0.4435592293739319,0.4533841907978058,2,"(16, 8, 8)"
418,0.443562775850296,0.45069360733032227,2,"(8, 32, 64)"
205,0.44360098242759705,0.45271986722946167,2,"(8, 16, 8)"
20,0.44361475110054016,0.45537400245666504,3,"(8, 16, 32)"
96,0.44378572702407837,0.4506441354751587,1,"(32, 8, 8)"
165,0.4438672959804535,0.45170828700065613,1,"(64, 16, 64)"
531,0.4438844919204712,0.44975391030311584,1,"(64, 8, 16)"
424,0.44390517473220825,0.45181307196617126,2,"(8, 64, 16)"
16,0.44399192929267883,0.4523186981678009,2,"(8, 16, 16)"
25,0.44403254985809326,0.45048484206199646,2,"(8, 32, 8)"
171,0.4440373182296753,0.44822970032691956,1,"(64, 32, 16)"
202,0.4440692365169525,0.45350319147109985,2,"(8, 8, 64)"
141,0.4440861940383911,0.4500232934951782,1,"(32, 64, 64)"
421,0.44418859481811523,0.4555683434009552,2,"(8, 64, 8)"
52,0.44427546858787537,0.4548339545726776,2,"(16, 8, 16)"
91,0.44428306818008423,0.4522145986557007,2,"(16, 64, 32)"
466,0.4443018436431885,0.4461061656475067,2,"(16, 32, 64)"
433,0.44446632266044617,0.4517817199230194,2,"(16, 8, 8)"
55,0.4445478618144989,0.45067471265792847,2,"(16, 8, 32)"
28,0.44456425309181213,0.44910046458244324,2,"(8, 32, 16)"
318,0.4445793330669403,0.45261281728744507,1,"(32, 32, 32)"
252,0.4446016550064087,0.45106130838394165,1,"(16, 16, 8)"
543,0.44460195302963257,0.4519653618335724,1,"(64, 16, 16)"
498,0.44472989439964294,0.45274171233177185,1,"(32, 16, 32)"
442,0.44473499059677124,0.45257359743118286,2,"(16, 8, 64)"
480,0.4447649121284485,0.45278874039649963,1,"(32, 8, 8)"
132,0.44476768374443054,0.45324721932411194,1,"(32, 64, 8)"
348,0.4448239803314209,0.4502195119857788,1,"(64, 16, 8)"
561,0.4448643922805786,0.4510611891746521,1,"(64, 32, 64)"
405,0.4448714554309845,0.45255616307258606,1,"(8, 16, 64)"
159,0.44491052627563477,0.45246973633766174,1,"(64, 16, 16)"
354,0.44491079449653625,0.4509789049625397,1,"(64, 16, 32)"
46,0.44492781162261963,0.4553487300872803,2,"(8, 64, 64)"
312,0.44500964879989624,0.4527459740638733,1,"(32, 32, 8)"
404,0.44501352310180664,0.45205992460250854,3,"(8, 16, 32)"
210,0.44505295157432556,0.4571602940559387,1,"(8, 16, 32)"
114,0.44527408480644226,0.4559873938560486,1,"(32, 16, 32)"
83,0.4453187584877014,0.454872190952301,3,"(16, 32, 64)"
534,0.44535985589027405,0.4538569748401642,1,"(64, 8, 32)"
57,0.4454146921634674,0.4566901922225952,1,"(16, 8, 64)"
82,0.4454764425754547,0.4511588513851166,2,"(16, 32, 64)"
403,0.4454837739467621,0.4555755853652954,2,"(8, 16, 32)"
444,0.44548484683036804,0.4553198516368866,1,"(16, 16, 8)"
