,Accuracy,config/layer_1_reg_class,config/layer_1_reg_value,config/layer_2_reg_class,config/layer_2_reg_value,config/layer_3_reg_class,config/layer_3_reg_value,config/dropout_1,config/dropout_2
1758,0.430400013923645,<class 'keras.src.regularizers.L2'>,0.006575600797983096,<class 'keras.src.regularizers.L2'>,0.004715413043095924,<class 'keras.src.regularizers.L2'>,0.004628487694011625,0.027457078282872895,0.38563701920373167
2827,0.42800000309944153,<class 'keras.src.regularizers.L2'>,0.0030876513261840367,<class 'keras.src.regularizers.L2'>,0.0024063315373536584,<class 'keras.src.regularizers.L2'>,0.001351474680293421,0.025324533203865435,0.14514759014682924
2358,0.42489999532699585,<class 'keras.src.regularizers.L2'>,0.00019501110265900053,<class 'keras.src.regularizers.L2'>,0.0026242255318106077,<class 'keras.src.regularizers.L2'>,0.007171622859820757,0.06231664910077612,0.13125434164820285
2094,0.42410001158714294,<class 'keras.src.regularizers.L2'>,0.0012692873247472352,<class 'keras.src.regularizers.L2'>,0.0028146937415044052,<class 'keras.src.regularizers.L2'>,0.003214515952356177,0.006786032849618938,0.1603515221069794
603,0.4237000048160553,<class 'keras.src.regularizers.L1'>,0.0017812729046926788,<class 'keras.src.regularizers.L2'>,0.00011238643343247085,<class 'keras.src.regularizers.L2'>,0.003965606698906752,0.07049782032428444,0.25898308862920927
1627,0.4235000014305115,<class 'keras.src.regularizers.L1'>,0.0021286703530624903,<class 'keras.src.regularizers.L2'>,0.0004477257374391715,<class 'keras.src.regularizers.L2'>,0.0015954767297673962,0.040866590663122884,0.24983305832529507
950,0.4228000044822693,<class 'keras.src.regularizers.L2'>,0.0006410818558293738,<class 'keras.src.regularizers.L2'>,0.008166115483617144,<class 'keras.src.regularizers.L2'>,0.0058436965819608855,0.033711210681561854,0.16170585516653208
91,0.42260000109672546,<class 'keras.src.regularizers.L1'>,0.002797786560207494,<class 'keras.src.regularizers.L2'>,0.004625455385199925,<class 'keras.src.regularizers.L2'>,0.0027829924237983807,0.021079769249939425,0.3935902632880735
2810,0.42160001397132874,<class 'keras.src.regularizers.L2'>,0.002347371627708846,<class 'keras.src.regularizers.L2'>,0.004705255273175253,<class 'keras.src.regularizers.L2'>,0.0023938702910681424,0.04421097657972572,0.14133982821949162
2559,0.41920000314712524,<class 'keras.src.regularizers.L2'>,0.003085422323932267,<class 'keras.src.regularizers.L2'>,0.003504422558650328,<class 'keras.src.regularizers.L2'>,0.0081317631122911,0.03379236384297693,0.14526984182202146
1565,0.4185999929904938,<class 'keras.src.regularizers.L2'>,0.000932003404654906,<class 'keras.src.regularizers.L2'>,0.003413584576725367,<class 'keras.src.regularizers.L2'>,0.0016907410208593387,0.03617750858144608,0.21923288417702103
2137,0.41830000281333923,<class 'keras.src.regularizers.L2'>,0.007212434218218985,<class 'keras.src.regularizers.L2'>,0.0015679670196350678,<class 'keras.src.regularizers.L2'>,0.003792836380361684,0.02465621580565614,0.13740536460605712
2146,0.4178999960422516,<class 'keras.src.regularizers.L2'>,0.007560542857148567,<class 'keras.src.regularizers.L2'>,0.0021028592618213353,<class 'keras.src.regularizers.L2'>,0.007592627678422917,0.02478326252407584,0.15669151543860607
2437,0.41769999265670776,<class 'keras.src.regularizers.L2'>,0.008020845312733843,<class 'keras.src.regularizers.L2'>,0.00034562092843225744,<class 'keras.src.regularizers.L2'>,0.0016471622744423135,0.02685341225758593,0.13289365239731676
1138,0.41769999265670776,<class 'keras.src.regularizers.L1'>,0.0010038824719074033,<class 'keras.src.regularizers.L2'>,0.008315306861010471,<class 'keras.src.regularizers.L2'>,0.0077532198859149816,0.04247657144804427,0.16830586834358813
461,0.41670000553131104,<class 'keras.src.regularizers.L2'>,0.0015699040802990148,<class 'keras.src.regularizers.L2'>,0.005170575746468478,<class 'keras.src.regularizers.L2'>,0.008087129001292678,0.05680067567709088,0.1397888172288468
2743,0.41659998893737793,<class 'keras.src.regularizers.L2'>,0.0016092286513257668,<class 'keras.src.regularizers.L2'>,0.008322909649268009,<class 'keras.src.regularizers.L2'>,0.0025690602707434005,0.016612241886421686,0.13981427999256626
1157,0.4165000021457672,<class 'keras.src.regularizers.L1'>,0.0014518711626803741,<class 'keras.src.regularizers.L2'>,0.008791407181274106,<class 'keras.src.regularizers.L2'>,0.00013752921497846597,0.042109860783769035,0.24251652014704728
2132,0.41620001196861267,<class 'keras.src.regularizers.L2'>,0.0050819283079173785,<class 'keras.src.regularizers.L2'>,0.0013856318432131144,<class 'keras.src.regularizers.L2'>,0.008966675313949431,0.012147953636689388,0.16852837306678725
323,0.41499999165534973,<class 'keras.src.regularizers.L1'>,0.001988350496797629,<class 'keras.src.regularizers.L2'>,0.0029726718091481925,<class 'keras.src.regularizers.L2'>,0.005642675958582793,0.03525797488139083,0.3857587565994032
2667,0.4147000014781952,<class 'keras.src.regularizers.L2'>,0.007134398221646821,<class 'keras.src.regularizers.L2'>,0.007363674391887051,<class 'keras.src.regularizers.L2'>,0.001003808422051643,0.041702813929197405,0.15158142082937726
2336,0.41449999809265137,<class 'keras.src.regularizers.L2'>,0.0008262517080440163,<class 'keras.src.regularizers.L2'>,0.009154578439653126,<class 'keras.src.regularizers.L2'>,0.004486037536037663,0.039817675299978886,0.17865113882149963
2089,0.41449999809265137,<class 'keras.src.regularizers.L2'>,0.004948098338106069,<class 'keras.src.regularizers.L2'>,0.00016287553934601405,<class 'keras.src.regularizers.L2'>,0.009856136286501546,0.007993206934060214,0.16222535210365385
2581,0.41440001130104065,<class 'keras.src.regularizers.L2'>,0.0033889955943273314,<class 'keras.src.regularizers.L2'>,0.007756783400889434,<class 'keras.src.regularizers.L2'>,0.0037404481263236477,0.058744508207790036,0.1428205649838397
