,config/models,Train Accuracy,Test Accuracy,Perturb Accuracy
5,<function normalized_batches at 0x7fe04bb2a7a0>,0.922980010509491,0.45590001344680786,0.3589000105857849
17,<function normalized_batches at 0x7fe04bb2a7a0>,0.9005799889564514,0.44940000772476196,0.362199991941452
9,<function normalized_batches at 0x7fe04bb2a7a0>,0.8940799832344055,0.44600000977516174,0.3553999960422516
13,<function normalized_batches at 0x7fe04bb2a7a0>,0.8768399953842163,0.4350999891757965,0.35019999742507935
1,<function normalized_batches at 0x7fe04bb2a7a0>,0.8633000254631042,0.4260999858379364,0.3370000123977661
4,<function regularized at 0x7fe04bb2a840>,0.4069400131702423,0.3596999943256378,0.31619998812675476
0,<function regularized at 0x7fe04bb2a840>,0.3786799907684326,0.3334999978542328,0.3005000054836273
16,<function regularized at 0x7fe04bb2a840>,0.33417999744415283,0.3012999892234802,0.26019999384880066
12,<function regularized at 0x7fe04bb2a840>,0.31911998987197876,0.2924000024795532,0.26600000262260437
8,<function regularized at 0x7fe04bb2a840>,0.31158000230789185,0.29120001196861267,0.2619999945163727
7,<function norm_batches_data_augment at 0x7fe04bb2a980>,0.24140000343322754,0.2362000048160553,0.1858000010251999
15,<function norm_batches_data_augment at 0x7fe04bb2a980>,0.2120400071144104,0.20909999310970306,0.16670000553131104
3,<function norm_batches_data_augment at 0x7fe04bb2a980>,0.1905200034379959,0.19040000438690186,0.1469999998807907
2,<function augmented_data at 0x7fe04bb2a8e0>,0.18367999792099,0.18170000612735748,0.15559999644756317
19,<function norm_batches_data_augment at 0x7fe04bb2a980>,0.16432000696659088,0.16279999911785126,0.1412000060081482
10,<function augmented_data at 0x7fe04bb2a8e0>,0.13641999661922455,0.1339000016450882,0.12200000137090683
18,<function augmented_data at 0x7fe04bb2a8e0>,0.1348399966955185,0.12680000066757202,0.11940000206232071
14,<function augmented_data at 0x7fe04bb2a8e0>,0.1271599978208542,0.1234000027179718,0.10620000213384628
11,<function norm_batches_data_augment at 0x7fe04bb2a980>,0.09774000197649002,0.0982000008225441,0.08569999784231186
6,<function augmented_data at 0x7fe04bb2a8e0>,0.08538000285625458,0.08070000261068344,0.07689999788999557
